一般頻道,#genre#
HBO频道台,http://free.xiptv.x10.bz/kudou.php?id=95
HBO强档台,http://free.xiptv.x10.bz/kudou.php?id=96
HBO家庭台,http://free.xiptv.x10.bz/kudou.php?id=97
TVN电影台,http://free.xiptv.x10.bz/kudou.php?id=41
好莱坞电影,http://free.xiptv.x10.bz/kudou.php?id=88 
东森新闻台,http://free.xiptv.x10.bz/kudou.php?id=75
tvbs新闻台,http://free.xiptv.x10.bz/kudou.php?id=78
寰宇新闻台,http://free.xiptv.x10.bz/kudou.php?id=76
三立新闻台,http://free.xiptv.x10.bz/kudou.php?id=79
民视新闻台,http://free.xiptv.x10.bz/kudou.php?id=84
中视新闻台,http://free.xiptv.x10.bz/kudou.php?id=80
台视新闻台,http://free.xiptv.x10.bz/kudou.php?id=81
台视闽南台,http://free.xiptv.x10.bz/kudou.php?id=44
华视闽南台,http://free.xiptv.x10.bz/kudou.php?id=46
公视闽南台,http://free.xiptv.x10.bz/kudou.php?id=47
民视闽南台,http://free.xiptv.x10.bz/kudou.php?id=43
民视台湾台,http://free.xiptv.x10.bz/kudou.php?id=49
民视第一台,http://free.xiptv.x10.bz/kudou.php?id=50
中视闽南台,http://free.xiptv.x10.bz/kudou.php?id=45
中天亚洲台,http://free.xiptv.x10.bz/kudou.php?id=60
中天综合台,http://free.xiptv.x10.bz/kudou.php?id=61
中天娱乐台,http://free.xiptv.x10.bz/kudou.php?id=62
三立综合台,http://free.xiptv.x10.bz/kudou.php?id=51
三立台湾台,http://free.xiptv.x10.bz/kudou.php?id=52
三立都会台,http://free.xiptv.x10.bz/kudou.php?id=54
八大综合台,http://free.xiptv.x10.bz/kudou.php?id=55 
八大笫一台,http://free.xiptv.x10.bz/kudou.php?id=56
八大戏剧台,http://free.xiptv.x10.bz/kudou.php?id=57
tvbs-HD台,http://free.xiptv.x10.bz/kudou.php?id=77
靖天电影台,http://free.xiptv.x10.bz/kudou.php?id=150
靖洋戏剧台,http://free.xiptv.x10.bz/kudou.php?id=53
龙祥时代台,http://free.xiptv.x10.bz/kudou.php?id=85
东森综合台,http://free.xiptv.x10.bz/kudou.php?id=66
东森戏剧台,http://free.xiptv.x10.bz/kudou.php?id=67
东森电影台,http://free.xiptv.x10.bz/kudou.php?id=86
东森洋片台,http://free.xiptv.x10.bz/kudou.php?id=87
龙华戏剧台,http://free.xiptv.x10.bz/kudou.php?id=90
龙华洋片台,http://free.xiptv.x10.bz/kudou.php?id=92
龙华偶像台,http://free.xiptv.x10.bz/kudou.php?id=91 
龙华电影台,http://free.xiptv.x10.bz/kudou.php?id=93
纬来电影台,http://free.xiptv.x10.bz/kudou.php?id=89
华纳电影台,http://free.xiptv.x10.bz/kudou.php?id=100
卫视电影台,http://free.xiptv.x10.bz/kudou.php?id=102
亚洲旅游台,http://free.xiptv.x10.bz/kudou.php?id=71 
美食星球台,http://free.xiptv.x10.bz/kudou.php?id=69
探索频道台,http://free.xiptv.x10.bz/kudou.php?id=73
动物星球台,http://free.xiptv.x10.bz/kudou.php?id=108
野生地理台,http://free.xiptv.x10.bz/kudou.php?id=109
国家地理台,http://free.xiptv.x10.bz/kudou.php?id=110
cn卡通频道,http://free.xiptv.x10.bz/kudou.php?id=65  
AXN电影台,http://free.xiptv.x10.bz/kudou.php?id=99
FGM电影台,http://free.xiptv.x10.bz/kudou.php?id=151
BOB电影台,http://free.xiptv.x10.bz/kudou.php?id=114
EYE-旅游台,http://free.xiptv.x10.bz/kudou.php?id=63
EYE-戏剧台,http://free.xiptv.x10.bz/kudou.php?id=64
ELT-影剧台,http://free.xiptv.x10.bz/kudou.php?id=59
ELT-体育三,http://free.xiptv.x10.bz/kudou.php?id=120
ELT-体育四,http://free.xiptv.x10.bz/kudou.php?id=72
KiX-频道台,http://free.xiptv.x10.bz/kudou.php?id=34
ROCK-综艺,http://free.xiptv.x10.bz/kudou.php?id=32 
ROCK-娱乐,http://free.xiptv.x10.bz/kudou.php?id=33
AFN频道台,http://free.xiptv.x10.bz/kudou.php?id=70
BBC纪实台,http://free.xiptv.x10.bz/kudou.php?id=111
Mtv频道台,http://free.xiptv.x10.bz/kudou.php?id=113
DMAX频道,http://free.xiptv.x10.bz/kudou.php?id=74 
CiINE-Max,http://free.xiptv.x10.bz/kudou.php?id=98
moviesnow,http://free.xiptv.x10.bz/kudou.php?id=101 
松视一台,http://free.xiptv.x10.bz/kudou.php?id=132
松视二台,http://free.xiptv.x10.bz/kudou.php?id=134
松视三台,http://free.xiptv.x10.bz/kudou.php?id=135
香蕉频道,http://free.xiptv.x10.bz/kudou.php?id=128
惊艳频道,http://free.xiptv.x10.bz/kudou.php?id=130
彩虹_e台,http://free.xiptv.x10.bz/kudou.php?id=137
玩美频道,http://free.xiptv.x10.bz/kudou.php?id=133
极限频道,http://free.xiptv.x10.bz/kudou.php?id=136

Decoder=3
随机H动漫,#genre#
口交,http://free.xiptv.x10.bz/api/dm.php?id=1
内射,http://free.xiptv.x10.bz/api/dm.php?id=2
巨乳,http://free.xiptv.x10.bz/api/dm.php?id=3
JK,http://free.xiptv.x10.bz/api/dm.php?id=4
无码,http://free.xiptv.x10.bz/api/dm.php?id=5
1080p,http://free.xiptv.x10.bz/api/dm.php?id=6
同人,http://free.xiptv.x10.bz/api/dm.php?id=7
3D,http://free.xiptv.x10.bz/api/dm.php?id=8
公众场合,http://free.xiptv.x10.bz/api/dm.php?id=9
乳交,http://free.xiptv.x10.bz/api/dm.php?id=10
肛交,http://free.xiptv.x10.bz/api/dm.php?id=11
强制,http://free.xiptv.x10.bz/api/dm.php?id=12
颜射,http://free.xiptv.x10.bz/api/dm.php?id=13
后宫,http://free.xiptv.x10.bz/api/dm.php?id=14
阿嘿颜,http://free.xiptv.x10.bz/api/dm.php?id=15
